Date,Ticker,Mkt-RF,SMB,HML,RMW,CMA,Mom,Idio
2023-07-07,CFLT,9.331743227913535e-05,9.988312443839001e-06,8.185267403863045e-06,7.103596770833252e-05,8.743514240105504e-05,2.095901241652109e-05,0.0015538605581879353
2023-07-10,CFLT,0.00010688465569447586,1.2120159699122759e-05,6.843216166083912e-06,8.42326019126925e-05,6.254592902668808e-05,3.424753627371172e-05,0.00139880500672785
2023-07-11,CFLT,0.00010164109052229079,6.701743150627905e-06,6.367370227232627e-06,8.45191419329029e-05,5.438847499366749e-05,2.8507643142558168e-05,0.0014309777350608125
2023-07-12,CFLT,9.509893100864378e-05,7.131745679202212e-06,7.192254312145301e-06,8.80426373923367e-05,5.5472921480825354e-05,2.943810111216766e-05,0.0014069203272730904
2023-07-13,CFLT,0.00010085974821056153,7.2583370894194e-06,5.32243803846193e-06,8.52771589615027e-05,4.778774132463014e-05,3.059924338517444e-05,0.0013921880865251127
2023-07-14,CFLT,9.867055974909982e-05,9.128477939481218e-06,6.582424801769681e-06,8.552908996646433e-05,5.006085574461351e-05,3.0114924923465796e-05,0.0013954416830878156
2023-07-17,CFLT,0.00010058503023361906,1.006755942805483e-05,7.180724442494411e-06,8.442815485775182e-05,5.235392060459104e-05,3.351889574657852e-05,0.001377909484995185
2023-07-18,CFLT,9.949859779401073e-05,3.551449067381464e-06,5.713890049952112e-06,0.00010057269980444571,5.344657757182263e-05,2.4566702624234153e-05,0.0013701846625191352
2023-07-19,CFLT,9.973900377157356e-05,3.467128711967991e-06,5.748871624961414e-06,0.00010037118880966379,5.376811907227328e-05,2.444125416630467e-05,0.0013646767911565326
2023-07-20,CFLT,0.00010039409654752588,4.1272287176511286e-06,7.130249308636273e-06,9.731357117123948e-05,5.2790165471369464e-05,2.826709208048683e-05,0.001387324794570949
2023-07-21,CFLT,0.00010581679881141424,4.316489777762715e-06,8.077271560420954e-06,9.8765142663339e-05,5.6528803725279654e-05,2.5679233724642063e-05,0.0013550075687674117
2023-07-24,CFLT,0.00010251800183709596,3.8045667756164666e-06,8.795645264569678e-06,9.641596404003648e-05,5.8968566543874065e-05,2.410834505000347e-05,0.00134462876048577
2023-07-25,CFLT,0.00010168850677574972,3.466515572794169e-06,7.825606790070068e-06,0.00010208343923289412,5.619993272822645e-05,2.230781160492826e-05,0.0012892541057622098
2023-07-26,CFLT,9.963017916742481e-05,2.117749107115038e-06,7.131563911157246e-06,9.691031627640188e-05,5.848292336330458e-05,1.619676264011068e-05,0.0013324626138317467
2023-07-27,CFLT,0.00010006056582909854,2.2654095646652613e-06,6.917910179283319e-06,8.923252484228799e-05,7.384666304276274e-05,9.195143135280883e-06,0.001335338132224397
2023-07-28,CFLT,0.00010030392237486723,2.239875464253508e-06,7.1666042026132865e-06,8.972675925205081e-05,7.371171173478972e-05,9.206791761893615e-06,0.001326832122708846
2023-07-31,CFLT,0.00010654871191442975,7.822414262365887e-06,1.0975854611531918e-05,9.156037273471752e-05,7.459219498580732e-05,1.6181262515022147e-05,0.0012845111305791804
2023-08-01,CFLT,0.00010549465736903451,8.926234568074305e-06,1.1564145954936127e-05,8.737596008673267e-05,7.690552740639304e-05,1.7100057369715016e-05,0.0012969971509346656
2023-08-02,CFLT,0.00012269131649343746,9.737537973107856e-06,8.824765158955118e-06,8.756241625640176e-05,6.834577184346402e-05,2.0426878838414945e-05,0.0013123305811565743
2023-08-03,CFLT,0.0001452536354994574,8.237186878093715e-06,8.056365416891838e-06,8.876015254979704e-05,6.882490441107345e-05,1.7029868360427203e-05,0.001449524559751713
2023-08-04,CFLT,0.00010427281897533866,7.151642335878629e-06,1.7007999399828673e-05,8.030001737127862e-05,0.00010491068261885465,1.1190118927091214e-05,0.0014330551547777465
2023-08-07,CFLT,0.0001410730840702185,7.691788491164835e-06,1.2124044851444183e-05,8.655499311988646e-05,7.850300176460328e-05,5.266895195972463e-06,0.0013813986719427526
2023-08-08,CFLT,0.00013486391340950977,5.68163055809135e-06,1.0517310436943073e-05,8.59256783400108e-05,7.674538727917516e-05,5.103046302320183e-06,0.0013844133760057419
2023-08-09,CFLT,0.00012937990764142756,6.613805457495698e-06,1.2140370284401652e-05,8.941622303653363e-05,7.792117750744256e-05,4.351032534507955e-06,0.0013840576510577548
2023-08-10,CFLT,0.00012153562353517145,5.53465706618404e-06,1.1878690566591707e-05,9.025894543198406e-05,7.873696388445943e-05,3.6935953400276473e-06,0.0013939445360768672
2023-08-11,CFLT,0.00012735648174105004,4.66600719699793e-06,1.0154547018520536e-05,8.677213617861598e-05,7.569068264425612e-05,4.035785553558559e-06,0.001387008299955814
2023-08-14,CFLT,0.00012781069497954587,4.650460099204949e-06,1.0140892924348439e-05,8.727697604048328e-05,7.490220748985467e-05,4.187311830524209e-06,0.0013878653968735144
2023-08-15,CFLT,0.00011822827330569454,3.415942180092492e-06,8.033920386449933e-06,8.371956005678184e-05,7.092161244935023e-05,8.109143611186932e-06,0.0013716660850693835
2023-08-16,CFLT,9.054597946191051e-05,4.545894631347983e-06,1.2788345814982063e-05,9.79786652031138e-05,7.923770301009796e-05,5.570394208787649e-06,0.0013735268757566737
2023-08-17,CFLT,9.367976933842857e-05,4.3013119249295935e-06,1.2140983393889707e-05,9.581912464680247e-05,7.600877313901209e-05,5.329315292098574e-06,0.0013729944259518027
