ticker,longshort,callput,expiry,contracts,strike,avg,mkt
CFLT,long,call,2025-09-19,-50,19.0,0.77,0.88
CFLT,short,call,2025-10-17,50,18.0,1.55,1.65
CRM,long,put,2025-11-21,-15,200.0,2.76,2.28
CRM,short,put,2025-11-21,15,220.0,6.58,5.38
DE,long,call,2025-09-19,-5,465.0,3.63,2.21
DE,short,call,2025-09-19,5,487.5,10.85,8.15
DECK,short,call,2025-09-19,-10,105.0,4.45,12.9
DECK,short,call,2025-09-26,-10,114.0,4.15,5.5
DECK,long,call,2025-10-17,20,105.0,5.19,14.5
MOH,long,call,2025-10-17,6,170.0,12.65,14.1
MOH,short,call,2025-10-17,-6,200.0,3.93,4.65
PLTR,long,put,2025-09-19,-2,150.0,5.25,5.3
PLTR,short,put,2025-11-21,2,165.0,21.46,21.9
SBUX,long,put,2025-09-05,-30,89.0,1.47,2.21
SBUX,short,put,2025-10-17,30,90.0,3.48,4.68
XBI,long,call,2025-09-05,-20,91.0,1.91,0.99
XBI,short,call,2025-10-17,20,91.0,3.85,3.15
CPER,long,call,2025-09-19,50,28.0,1.5,1.3
