ticker,longshort,callput,expiry,contracts,strike,avg,mkt
CFLT,long,call,19.09.2025,-50,19,0.77,1.40
CFLT,short,call,17.10.2025,65,18,1.77,2.50
CRM,long,put,21.11.2025,-15,200,2.76,1.75
CRM,short,put,21.11.2025,25,220,5.86,4.22
DE,long,call,19.09.2025,-5,465,3.63,4.80
DE,short,call,19.09.2025,8,487.5,12.13,15.15
DECK,short,call,19.09.2025,30,125,2.23,2.00
DECK,short,call,19.09.2025,-20,130,0.8,0.9
DECK,long,call,17.10.2025,10,120,6.19,6.4
MOH,long,call,17.10.2025,6,170,12.65,18.45
MOH,short,call,17.10.2025,-6,200,3.93,5.55
PLTR,long,put,19.09.2025,-3,150,5.09,4.20
PLTR,short,put,21.11.2025,5,165,21.49,21.23
SBUX,long,put,05.09.2025,-30,89,1.47,1.57
SBUX,short,put,17.10.2025,34,90,3.61,4.28
XBI,long,call,05.09.2025,-40,91,1.25,0.64
XBI,short,call,17.10.2025,-40,91,3.36,2.93
CPER,long,call,19.09.2025,50,28,1.50,1.30
,,,,,,,
