Target,R2(%),N_obs,Beta_CPER(%),t_CPER,p_CPER(%),Beta_USO(%),t_USO,p_USO(%),Beta_GLD(%),t_GLD,p_GLD(%),Beta_SLV(%),t_SLV,p_SLV(%),Beta_UNG(%),t_UNG,p_UNG(%),Beta_DBA(%),t_DBA,p_DBA(%)
XLK,15.357,367,20.321,3.321,0.099,4.261,1.41,15.944,-20.441,-1.604,10.963,22.614,3.288,0.111,0.859,0.404,68.632,9.622,1.107,26.911
SMH,17.814,367,36.103,4.516,0.001,4.02,1.018,30.931,-25.638,-1.54,12.453,26.252,2.921,0.37,-0.04,-0.014,98.858,16.797,1.479,14.006
IGV,11.454,367,20.285,2.964,0.324,4.516,1.336,18.25,-8.298,-0.582,56.089,17.471,2.271,2.375,-0.832,-0.35,72.65,6.654,0.684,49.424
XLY,16.043,367,25.363,4.151,0.004,1.246,0.413,67.996,-25.433,-1.998,4.644,21.106,3.073,0.228,0.556,0.262,79.33,16.521,1.903,5.785
XRT,16.417,367,20.442,2.76,0.607,1.334,0.365,71.554,-37.818,-2.452,1.47,31.679,3.805,0.017,-0.44,-0.171,86.42,34.732,3.301,0.106
XHB,14.401,367,23.778,2.944,0.345,0.093,0.023,98.145,-7.966,-0.474,63.609,23.514,2.59,0.997,0.046,0.016,98.702,29.336,2.557,1.097
XLP,10.75,367,6.672,1.697,9.059,5.141,2.647,0.848,7.605,0.929,35.375,5.472,1.238,21.649,1.17,0.857,39.18,3.313,0.593,55.354
XLC,17.151,367,20.317,3.904,0.011,3.559,1.385,16.702,-16.607,-1.532,12.634,17.46,2.985,0.303,-0.002,-0.001,99.922,13.161,1.78,7.587
XLV,12.612,367,9.184,2.024,4.371,4.197,1.872,6.196,-0.527,-0.056,95.556,13.097,2.568,1.064,1.851,1.175,24.066,2.401,0.372,70.981
XBI,8.992,367,21.786,2.607,0.953,2.607,0.632,52.811,-7.759,-0.446,65.611,22.596,2.405,1.667,-1.385,-0.477,63.33,-6.588,-0.555,57.94
XLE,44.174,367,21.971,3.222,0.139,39.76,11.805,0.0,-5.811,-0.409,68.265,8.436,1.101,27.176,6.179,2.61,0.942,28.433,2.935,0.355
XOP,41.711,367,27.818,3.132,0.188,49.277,11.233,0.0,-0.748,-0.04,96.777,0.06,0.006,99.518,11.833,3.838,0.015,37.77,2.993,0.295
XLB,31.746,367,32.443,6.266,0.0,4.506,1.762,7.892,0.882,0.082,93.485,13.68,2.351,1.929,2.433,1.354,17.674,25.025,3.402,0.074
XME,45.816,367,52.938,7.625,0.0,16.739,4.881,0.0,19.07,1.319,18.808,16.847,2.159,3.152,2.283,0.947,34.419,40.144,4.07,0.006
XLU,19.092,367,2.05,0.39,69.688,0.939,0.362,71.783,26.681,2.436,1.534,15.781,2.67,0.793,3.674,2.013,4.487,13.4,1.794,7.371
XLF,21.601,367,25.945,4.383,0.002,6.662,2.279,2.327,-35.068,-2.844,0.471,19.625,2.95,0.339,2.479,1.206,22.846,26.326,3.13,0.189
XLI,25.612,367,22.136,4.153,0.004,8.8,3.342,0.092,-18.662,-1.681,9.365,19.042,3.178,0.161,1.507,0.814,41.594,23.089,3.049,0.247
XLRE,15.511,367,12.666,2.109,3.565,2.168,0.731,46.529,9.993,0.799,42.495,18.395,2.725,0.675,2.862,1.373,17.069,8.057,0.944,34.567
