Target,R2(%),N_obs,Beta_SPY(%),t_SPY,p_SPY(%),Beta_QQQ(%),t_QQQ,p_QQQ(%),Beta_IWM(%),t_IWM,p_IWM(%)
XLK,94.849,367,27.849,4.839,0.0,89.994,24.558,0.0,-7.797,-3.219,0.14
SMH,78.457,367,-41.255,-2.644,0.856,136.457,13.732,0.0,26.643,4.056,0.006
IGV,82.22,367,-50.001,-4.276,0.002,126.109,16.936,0.0,23.72,4.819,0.0
XLY,86.024,367,31.626,3.327,0.097,51.933,8.58,0.0,23.703,5.924,0.0
XRT,66.468,367,8.552,0.478,63.279,10.668,0.937,34.952,81.099,10.772,0.0
XHB,72.538,367,90.521,5.191,0.0,-35.325,-3.181,0.159,68.331,9.308,0.0
XLP,63.418,367,146.307,15.244,0.0,-53.52,-8.757,0.0,-25.658,-6.351,0.0
XLC,78.349,367,29.925,2.951,0.338,52.209,8.084,0.0,6.319,1.48,13.973
XLV,66.145,367,135.597,12.593,0.0,-42.76,-6.236,0.0,-13.914,-3.07,0.23
XBI,61.082,367,-154.44,-7.411,0.0,108.74,8.195,0.0,120.838,13.776,0.0
XLE,55.882,367,231.599,10.022,0.0,-162.0,-11.008,0.0,38.585,3.966,0.009
XOP,43.392,367,138.123,4.139,0.004,-118.361,-5.57,0.0,90.34,6.432,0.0
XLB,82.376,367,137.958,13.753,0.0,-66.408,-10.397,0.0,29.941,7.091,0.0
XME,61.853,367,72.976,3.286,0.112,-55.998,-3.96,0.009,93.459,9.997,0.0
XLU,56.818,367,198.694,13.566,0.0,-99.736,-10.694,0.0,-14.978,-2.429,1.561
XLF,87.622,367,198.581,22.145,0.0,-104.287,-18.263,0.0,19.224,5.093,0.0
XLI,91.288,367,161.826,23.27,0.0,-69.593,-15.715,0.0,17.471,5.968,0.0
XLRE,65.597,367,150.445,10.296,0.0,-64.843,-6.969,0.0,13.274,2.158,3.157
