Target,R2(%),N_obs,Beta_2y(%),t_2y,p_2y(%),Beta_10y(%),t_10y,p_10y(%),Beta_10s2s(%),t_10s2s,p_10s2s(%)
XLK,0.104,367,0.359,0.353,72.394,-0.5,-0.486,62.748,-0.859,-0.608,54.334
SMH,0.182,367,1.059,0.787,43.197,0.338,0.247,80.469,-0.721,-0.385,70.019
IGV,0.361,367,-0.192,-0.173,86.26,-1.284,-1.141,25.441,-1.092,-0.708,47.957
XLY,0.035,367,-0.333,-0.327,74.363,-0.161,-0.156,87.614,0.172,0.122,90.323
XRT,0.536,367,-0.066,-0.053,95.741,1.745,1.395,16.386,1.811,1.056,29.187
XHB,1.972,367,-1.726,-1.307,19.196,-3.249,-2.427,1.57,-1.523,-0.83,40.73
XLP,1.015,367,-0.672,-1.062,28.894,-1.065,-1.661,9.756,-0.393,-0.447,65.49
XLC,0.644,367,-1.029,-1.182,23.811,0.816,0.925,35.57,1.845,1.524,12.835
XLV,0.469,367,-0.09,-0.121,90.376,-0.981,-1.308,19.167,-0.892,-0.867,38.666
XBI,0.527,367,-0.678,-0.508,61.174,-1.779,-1.315,18.938,-1.101,-0.593,55.334
XLE,4.951,367,2.208,1.624,10.52,5.665,4.112,0.005,3.458,1.83,6.811
XOP,7.145,367,3.112,1.818,6.995,8.767,5.05,0.0,5.654,2.375,1.808
XLB,0.378,367,-0.071,-0.074,94.121,1.132,1.169,24.33,1.203,0.905,36.597
XME,1.386,367,0.83,0.58,56.232,3.207,2.211,2.766,2.377,1.195,23.287
XLU,3.681,367,-1.047,-1.195,23.291,-3.186,-3.585,0.038,-2.138,-1.755,8.018
XLF,3.413,367,1.314,1.309,19.123,3.456,3.396,0.076,2.142,1.535,12.577
XLI,0.752,367,0.864,0.919,35.875,1.358,1.424,15.527,0.494,0.377,70.606
XLRE,4.508,367,-1.75,-1.794,7.361,-3.774,-3.817,0.016,-2.024,-1.492,13.649
